Name	conditionA	conditionB	log2FC	p_value	log10_pvalue
CE(FA12:0)	Healthy	COPD	NA	NA	NA
CE(FA14:0)	Healthy	COPD	0.298049813785312	NA	NA
CE(FA14:1)	Healthy	COPD	0.581055409821334	NA	NA
CE(FA15:0)	Healthy	COPD	0.517354096572851	NA	NA
CE(FA16:0)	Healthy	COPD	0.332635950530817	NA	NA
CE(FA16:1)	Healthy	COPD	0.40993883914449	NA	NA
CE(FA17:0)	Healthy	COPD	0.228892335981421	NA	NA
CE(FA18:0)	Healthy	COPD	0.345274388380445	NA	NA
CE(FA18:1)	Healthy	COPD	0.0808115056093293	NA	NA
CE(FA18:2)	Healthy	COPD	0.0816067600514554	NA	NA
CE(FA18:3)	Healthy	COPD	0.827359267710518	NA	NA
CE(FA18:4)	Healthy	COPD	0.706310835612087	NA	NA
CE(FA20:0)	Healthy	COPD	NA	NA	NA
CE(FA20:1)	Healthy	COPD	NA	NA	NA
CE(FA20:2)	Healthy	COPD	0.656386603058192	NA	NA
CE(FA20:3)	Healthy	COPD	0.30487572367033	NA	NA
CE(FA20:4)	Healthy	COPD	0.0693180999276475	NA	NA
CE(FA20:5)	Healthy	COPD	0.130755096115423	NA	NA
CE(FA22:0)	Healthy	COPD	NA	NA	NA
CE(FA22:1)	Healthy	COPD	NA	NA	NA
CE(FA22:2)	Healthy	COPD	NA	NA	NA
CE(FA22:4)	Healthy	COPD	0.86975908799653	NA	NA
CE(FA22:5)	Healthy	COPD	0.229485363090491	NA	NA
CE(FA22:6)	Healthy	COPD	0.262772502852091	NA	NA
CE(FA24:0)	Healthy	COPD	NA	NA	NA
CE(FA24:1)	Healthy	COPD	NA	NA	NA
CE(NA)	Healthy	COPD	0.234401350821946	NA	NA
CER(FA14:0)	Healthy	COPD	NA	NA	NA
CER(FA16:0)	Healthy	COPD	0.431340723900654	NA	NA
CER(FA18:0)	Healthy	COPD	NA	NA	NA
CER(FA20:0)	Healthy	COPD	NA	NA	NA
CER(FA22:0)	Healthy	COPD	0.315270735587783	NA	NA
CER(FA22:1)	Healthy	COPD	NA	NA	NA
CER(FA24:0)	Healthy	COPD	0.097271897680379	NA	NA
CER(FA24:1)	Healthy	COPD	0.12797730697616	NA	NA
CER(FA26:0)	Healthy	COPD	NA	NA	NA
CER(FA26:1)	Healthy	COPD	NA	NA	NA
CER(NA)	Healthy	COPD	0.229981724705893	NA	NA
DAG(FA12:0)	Healthy	COPD	NA	NA	NA
DAG(FA14:0)	Healthy	COPD	NA	NA	NA
DAG(FA14:1)	Healthy	COPD	NA	NA	NA
DAG(FA15:0)	Healthy	COPD	NA	NA	NA
DAG(FA16:0)	Healthy	COPD	0.425156816523845	NA	NA
DAG(FA16:1)	Healthy	COPD	-0.132275798993183	NA	NA
DAG(FA18:0)	Healthy	COPD	0.0363610326880865	NA	NA
DAG(FA18:1)	Healthy	COPD	-0.27708263726219	NA	NA
DAG(FA18:2)	Healthy	COPD	-0.0102200341859806	NA	NA
DAG(FA18:3)	Healthy	COPD	NA	NA	NA
DAG(FA20:0)	Healthy	COPD	NA	NA	NA
DAG(FA20:1)	Healthy	COPD	NA	NA	NA
DAG(FA20:2)	Healthy	COPD	NA	NA	NA
DAG(FA20:3)	Healthy	COPD	NA	NA	NA
DAG(FA20:4)	Healthy	COPD	NA	NA	NA
DAG(FA20:5)	Healthy	COPD	NA	NA	NA
DAG(FA22:4)	Healthy	COPD	NA	NA	NA
DAG(FA22:5)	Healthy	COPD	NA	NA	NA
DAG(FA22:6)	Healthy	COPD	NA	NA	NA
DCER(FA16:0)	Healthy	COPD	NA	NA	NA
DCER(FA22:0)	Healthy	COPD	NA	NA	NA
DCER(FA22:1)	Healthy	COPD	NA	NA	NA
DCER(FA24:0)	Healthy	COPD	NA	NA	NA
DCER(FA24:1)	Healthy	COPD	NA	NA	NA
DCER(FA26:0)	Healthy	COPD	NA	NA	NA
DCER(FA26:1)	Healthy	COPD	NA	NA	NA
DCER(NA)	Healthy	COPD	NA	NA	NA
FFA(FA14:1)	Healthy	COPD	NA	NA	NA
FFA(FA15:0)	Healthy	COPD	NA	NA	NA
FFA(FA16:0)	Healthy	COPD	NA	NA	NA
FFA(FA18:0)	Healthy	COPD	NA	NA	NA
FFA(FA18:1)	Healthy	COPD	NA	NA	NA
FFA(FA18:2)	Healthy	COPD	NA	NA	NA
FFA(FA18:4)	Healthy	COPD	NA	NA	NA
FFA(FA20:0)	Healthy	COPD	NA	NA	NA
FFA(FA20:1)	Healthy	COPD	NA	NA	NA
FFA(FA20:4)	Healthy	COPD	NA	NA	NA
FFA(FA20:5)	Healthy	COPD	NA	NA	NA
FFA(FA22:0)	Healthy	COPD	NA	NA	NA
FFA(FA22:1)	Healthy	COPD	NA	NA	NA
FFA(FA22:5)	Healthy	COPD	NA	NA	NA
FFA(FA22:6)	Healthy	COPD	NA	NA	NA
FFA(FA24:0)	Healthy	COPD	NA	NA	NA
FFA(FA24:1)	Healthy	COPD	NA	NA	NA
FFA(NA)	Healthy	COPD	NA	NA	NA
HCER(FA14:0)	Healthy	COPD	NA	NA	NA
HCER(FA16:0)	Healthy	COPD	0.500192907124147	NA	NA
HCER(FA18:0)	Healthy	COPD	NA	NA	NA
HCER(FA18:1)	Healthy	COPD	NA	NA	NA
HCER(FA20:0)	Healthy	COPD	NA	NA	NA
HCER(FA20:1)	Healthy	COPD	NA	NA	NA
HCER(FA22:0)	Healthy	COPD	0.394789598392034	NA	NA
HCER(FA22:1)	Healthy	COPD	0.478089851511555	NA	NA
HCER(FA24:0)	Healthy	COPD	0.315022198009919	NA	NA
HCER(FA24:1)	Healthy	COPD	0.337696220247777	NA	NA
HCER(FA26:0)	Healthy	COPD	NA	NA	NA
HCER(FA26:1)	Healthy	COPD	NA	NA	NA
HCER(NA)	Healthy	COPD	0.451698994026001	NA	NA
LCER(FA14:0)	Healthy	COPD	NA	NA	NA
LCER(FA16:0)	Healthy	COPD	0.291560156520079	NA	NA
LCER(FA18:0)	Healthy	COPD	NA	NA	NA
LCER(FA18:1)	Healthy	COPD	NA	NA	NA
LCER(FA20:0)	Healthy	COPD	NA	NA	NA
LCER(FA20:1)	Healthy	COPD	NA	NA	NA
LCER(FA22:0)	Healthy	COPD	NA	NA	NA
LCER(FA22:1)	Healthy	COPD	NA	NA	NA
LCER(FA24:0)	Healthy	COPD	NA	NA	NA
LCER(FA24:1)	Healthy	COPD	0.168156881586606	NA	NA
LCER(FA26:0)	Healthy	COPD	NA	NA	NA
LCER(FA26:1)	Healthy	COPD	NA	NA	NA
LCER(NA)	Healthy	COPD	0.299094713316499	NA	NA
LPC(FA14:0)	Healthy	COPD	0.833966795174722	NA	NA
LPC(FA15:0)	Healthy	COPD	1.0469695776916	NA	NA
LPC(FA16:0)	Healthy	COPD	1.12881362767	NA	NA
LPC(FA16:1)	Healthy	COPD	0.956681187524235	NA	NA
LPC(FA17:0)	Healthy	COPD	1.20649909495227	NA	NA
LPC(FA18:0)	Healthy	COPD	1.25405693573526	NA	NA
LPC(FA18:1)	Healthy	COPD	0.69117371373645	NA	NA
LPC(FA18:2)	Healthy	COPD	0.145885310763385	NA	NA
LPC(FA18:3)	Healthy	COPD	0.685790079864571	NA	NA
LPC(FA20:0)	Healthy	COPD	NA	NA	NA
LPC(FA20:1)	Healthy	COPD	1.11587039112202	NA	NA
LPC(FA20:2)	Healthy	COPD	0.64003707319176	NA	NA
LPC(FA20:3)	Healthy	COPD	0.823546656086016	NA	NA
LPC(FA20:4)	Healthy	COPD	0.641622885357615	NA	NA
LPC(FA20:5)	Healthy	COPD	0.562160957393534	NA	NA
LPC(FA22:4)	Healthy	COPD	0.428830457431221	NA	NA
LPC(FA22:5)	Healthy	COPD	0.752031991231197	NA	NA
LPC(FA22:6)	Healthy	COPD	0.190747446836871	NA	NA
LPC(NA)	Healthy	COPD	0.966099017956885	NA	NA
LPE(FA15:0)	Healthy	COPD	NA	NA	NA
LPE(FA16:0)	Healthy	COPD	1.00606599897008	NA	NA
LPE(FA16:1)	Healthy	COPD	0.428930283719136	NA	NA
LPE(FA17:0)	Healthy	COPD	1.0254168434328	NA	NA
