Name	conditionA	conditionB	log2FC	p_value	log10_pvalue
CE(12:0)	Healthy	COPD	NA	NA	NA
CE(14:0)	Healthy	COPD	0.298049813785312	NA	NA
CE(14:1)	Healthy	COPD	0.581055409821334	NA	NA
CE(15:0)	Healthy	COPD	0.517354096572851	NA	NA
CE(16:0)	Healthy	COPD	0.332635950530817	NA	NA
CE(16:1)	Healthy	COPD	0.40993883914449	NA	NA
CE(17:0)	Healthy	COPD	0.228892335981421	NA	NA
CE(18:0)	Healthy	COPD	0.345274388380445	NA	NA
CE(18:1)	Healthy	COPD	0.0808115056093293	NA	NA
CE(18:2)	Healthy	COPD	0.0816067600514554	NA	NA
CE(18:3)	Healthy	COPD	0.827359267710518	NA	NA
CE(18:4)	Healthy	COPD	0.706310835612087	NA	NA
CE(20:0)	Healthy	COPD	NA	NA	NA
CE(20:1)	Healthy	COPD	NA	NA	NA
CE(20:2)	Healthy	COPD	0.656386603058192	NA	NA
CE(20:3)	Healthy	COPD	0.30487572367033	NA	NA
CE(20:4)	Healthy	COPD	0.0693180999276475	NA	NA
CE(20:5)	Healthy	COPD	0.130755096115423	NA	NA
CE(22:0)	Healthy	COPD	NA	NA	NA
CE(22:1)	Healthy	COPD	NA	NA	NA
CE(22:2)	Healthy	COPD	NA	NA	NA
CE(22:4)	Healthy	COPD	0.86975908799653	NA	NA
CE(22:5)	Healthy	COPD	0.229485363090491	NA	NA
CE(22:6)	Healthy	COPD	0.262772502852091	NA	NA
CE(24:0)	Healthy	COPD	NA	NA	NA
CE(24:1)	Healthy	COPD	NA	NA	NA
CER(14:0)	Healthy	COPD	NA	NA	NA
CER(16:0)	Healthy	COPD	0.431340723900654	NA	NA
CER(18:0)	Healthy	COPD	NA	NA	NA
CER(20:0)	Healthy	COPD	NA	NA	NA
CER(22:0)	Healthy	COPD	0.315270735587783	NA	NA
CER(22:1)	Healthy	COPD	NA	NA	NA
CER(24:0)	Healthy	COPD	0.097271897680379	NA	NA
CER(24:1)	Healthy	COPD	0.12797730697616	NA	NA
CER(26:0)	Healthy	COPD	NA	NA	NA
CER(26:1)	Healthy	COPD	NA	NA	NA
DAG(12:0/16:0)	Healthy	COPD	NA	NA	NA
DAG(12:0/18:1)	Healthy	COPD	NA	NA	NA
DAG(14:0/16:0)	Healthy	COPD	NA	NA	NA
DAG(14:0/16:1)	Healthy	COPD	NA	NA	NA
DAG(14:0/18:1)	Healthy	COPD	NA	NA	NA
DAG(14:0/18:2)	Healthy	COPD	NA	NA	NA
DAG(14:0/18:3)	Healthy	COPD	NA	NA	NA
DAG(14:0/20:0)	Healthy	COPD	NA	NA	NA
DAG(14:0/20:4)	Healthy	COPD	NA	NA	NA
DAG(14:0/22:6)	Healthy	COPD	NA	NA	NA
DAG(14:1/16:0)	Healthy	COPD	NA	NA	NA
DAG(14:1/18:1)	Healthy	COPD	NA	NA	NA
DAG(15:0/18:1)	Healthy	COPD	NA	NA	NA
DAG(16:0/16:0)	Healthy	COPD	NA	NA	NA
DAG(16:0/16:1)	Healthy	COPD	NA	NA	NA
DAG(16:0/18:0)	Healthy	COPD	NA	NA	NA
DAG(16:0/18:1)	Healthy	COPD	0.447047566750873	NA	NA
DAG(16:0/18:2)	Healthy	COPD	0.744925193017217	NA	NA
DAG(16:0/18:3)	Healthy	COPD	NA	NA	NA
DAG(16:0/20:3)	Healthy	COPD	NA	NA	NA
DAG(16:0/20:4)	Healthy	COPD	NA	NA	NA
DAG(16:0/20:5)	Healthy	COPD	NA	NA	NA
DAG(16:0/22:5)	Healthy	COPD	NA	NA	NA
DAG(16:0/22:6)	Healthy	COPD	NA	NA	NA
DAG(16:1/16:1)	Healthy	COPD	NA	NA	NA
DAG(16:1/18:0)	Healthy	COPD	NA	NA	NA
DAG(16:1/18:1)	Healthy	COPD	-0.131867045083649	NA	NA
DAG(16:1/18:2)	Healthy	COPD	NA	NA	NA
DAG(16:1/20:0)	Healthy	COPD	NA	NA	NA
DAG(16:1/20:2)	Healthy	COPD	NA	NA	NA
DAG(16:1/20:4)	Healthy	COPD	NA	NA	NA
DAG(16:1/22:6)	Healthy	COPD	NA	NA	NA
DAG(18:0/18:1)	Healthy	COPD	-0.00484579142701486	NA	NA
DAG(18:0/18:2)	Healthy	COPD	0.0827336361793636	NA	NA
DAG(18:0/18:3)	Healthy	COPD	NA	NA	NA
DAG(18:1/18:1)	Healthy	COPD	-0.453659540856048	NA	NA
DAG(18:1/18:2)	Healthy	COPD	-0.376035471326067	NA	NA
DAG(18:1/20:1)	Healthy	COPD	NA	NA	NA
DAG(18:1/20:2)	Healthy	COPD	NA	NA	NA
DAG(18:1/20:3)	Healthy	COPD	NA	NA	NA
DAG(18:1/20:4)	Healthy	COPD	NA	NA	NA
DAG(18:1/20:5)	Healthy	COPD	NA	NA	NA
DAG(18:1/22:4)	Healthy	COPD	NA	NA	NA
DAG(18:1/22:5)	Healthy	COPD	NA	NA	NA
DAG(18:1/22:6)	Healthy	COPD	NA	NA	NA
DAG(18:2/18:3)	Healthy	COPD	NA	NA	NA
DAG(18:2/20:3)	Healthy	COPD	NA	NA	NA
DAG(18:2/20:4)	Healthy	COPD	NA	NA	NA
DAG(18:2/20:5)	Healthy	COPD	NA	NA	NA
DAG(18:2/22:4)	Healthy	COPD	NA	NA	NA
DAG(18:2/22:5)	Healthy	COPD	NA	NA	NA
DAG(18:2/22:6)	Healthy	COPD	NA	NA	NA
DAG(20:0/20:0)	Healthy	COPD	NA	NA	NA
DCER(16:0)	Healthy	COPD	NA	NA	NA
DCER(22:0)	Healthy	COPD	NA	NA	NA
DCER(22:1)	Healthy	COPD	NA	NA	NA
DCER(24:0)	Healthy	COPD	NA	NA	NA
DCER(24:1)	Healthy	COPD	NA	NA	NA
DCER(26:0)	Healthy	COPD	NA	NA	NA
DCER(26:1)	Healthy	COPD	NA	NA	NA
FFA(14:1)	Healthy	COPD	NA	NA	NA
FFA(15:0)	Healthy	COPD	NA	NA	NA
FFA(16:0)	Healthy	COPD	NA	NA	NA
FFA(18:0)	Healthy	COPD	NA	NA	NA
FFA(18:1)	Healthy	COPD	NA	NA	NA
FFA(18:2)	Healthy	COPD	NA	NA	NA
FFA(18:4)	Healthy	COPD	NA	NA	NA
FFA(20:0)	Healthy	COPD	NA	NA	NA
FFA(20:1)	Healthy	COPD	NA	NA	NA
FFA(20:4)	Healthy	COPD	NA	NA	NA
FFA(20:5)	Healthy	COPD	NA	NA	NA
FFA(22:0)	Healthy	COPD	NA	NA	NA
FFA(22:1)	Healthy	COPD	NA	NA	NA
FFA(22:5)	Healthy	COPD	NA	NA	NA
FFA(22:6)	Healthy	COPD	NA	NA	NA
FFA(24:0)	Healthy	COPD	NA	NA	NA
FFA(24:1)	Healthy	COPD	NA	NA	NA
HCER(14:0)	Healthy	COPD	NA	NA	NA
HCER(16:0)	Healthy	COPD	0.500192907124147	NA	NA
HCER(18:0)	Healthy	COPD	NA	NA	NA
HCER(18:1)	Healthy	COPD	NA	NA	NA
HCER(20:0)	Healthy	COPD	NA	NA	NA
HCER(20:1)	Healthy	COPD	NA	NA	NA
HCER(22:0)	Healthy	COPD	0.394789598392034	NA	NA
HCER(22:1)	Healthy	COPD	0.478089851511555	NA	NA
HCER(24:0)	Healthy	COPD	0.315022198009919	NA	NA
HCER(24:1)	Healthy	COPD	0.337696220247777	NA	NA
HCER(26:0)	Healthy	COPD	NA	NA	NA
HCER(26:1)	Healthy	COPD	NA	NA	NA
LCER(14:0)	Healthy	COPD	NA	NA	NA
LCER(16:0)	Healthy	COPD	0.291560156520079	NA	NA
LCER(18:0)	Healthy	COPD	NA	NA	NA
LCER(18:1)	Healthy	COPD	NA	NA	NA
LCER(20:0)	Healthy	COPD	NA	NA	NA
LCER(20:1)	Healthy	COPD	NA	NA	NA
LCER(22:0)	Healthy	COPD	NA	NA	NA
LCER(22:1)	Healthy	COPD	NA	NA	NA
LCER(24:0)	Healthy	COPD	NA	NA	NA
LCER(24:1)	Healthy	COPD	0.168156881586606	NA	NA
